class_id,class_name,total_images,total_instances,train_images,train_instances,val_images,val_instances,test_images,test_instances,pct_total_instances,pct_train_instances,avg_boxes_per_positive_img,max_boxes_per_img
0,pothole,3674,6544,2599,4628,544,965,531,951,7.8009,8.0154,1.7812,13
1,road_crack,22227,48462,15639,34113,3266,7212,3322,7137,57.7699,59.0814,2.1803,44
2,waterlogging,293,293,99,99,100,100,94,94,0.3493,0.1715,1.0000,1
3,construction_barrier,2146,28589,1280,18899,256,2381,610,7309,34.0800,32.7318,13.3220,48
